Ty_Le_Loi_Nhuan,Tieu_Bang
0.49,"West Virginia"
0.45,"District of Columbia"
0.44,Delaware
0.37,Iowa
0.36,Kansas
0.36,Arkansas
0.36,Minnesota
0.35,Montana
0.34,Mississippi
0.34,Georgia
0.33,Michigan
0.33,Vermont
0.32,"New Hampshire"
0.30,Maryland
0.30,"South Dakota"
0.29,"New Mexico"
0.29,Kentucky
0.28,Connecticut
0.28,Oklahoma
0.27,Washington
0.27,Alabama
0.27,Wisconsin
0.26,Indiana
0.26,Nebraska
0.26,"New York"
0.25,"North Dakota"
0.24,Virginia
0.22,"New Jersey"
0.21,Louisiana
0.20,California
0.20,Massachusetts
0.19,"South Carolina"
0.19,Missouri
0.19,Utah
0.14,Idaho
0.12,"Rhode Island"
0.10,Nevada
0.01,Florida
-0.09,Ohio
-0.12,Pennsylvania
-0.12,Arizona
-0.13,Oregon
-0.21,Texas
-0.21,Tennessee
-0.22,"North Carolina"
-0.30,Illinois
-0.45,Colorado
